Data,Height,,, ,residuals**,,,,
173,174.437,,,-1.4370,2.0650,,,,
165,174.5426,,,-9.5426,91.0612,,,,
168,174.78313,,,-6.7831,46.0109,,,,
167,174.51364,,,-7.5136,56.4548,,,Sum,3284.3245
173,174.81313,,,-1.8131,3.2874,,,RMSE,5.566344723
173,174.46738,,,-1.4674,2.1532,,,Best_CV,0.02756
159,174.4747,,,-15.4747,239.4663,,,,
165,174.26648,,,-9.2665,85.8677,,,,
176,174.43358,,,1.5664,2.4537,,,,
173.5,174.99715,,,-1.4972,2.2415,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,174.72581,,,1.2742,1.6236,,,"epochs=300, batch_size=32",
178,174.74509,,,3.2549,10.5944,,,,
172,174.92087,,,-2.9209,8.5315,,,,
170,175.03795,,,-5.0380,25.3809,,,,
178,174.61488,,,3.3851,11.4590,,,,
172,174.85666,,,-2.8567,8.1605,,,,
172,175.61066,,,-3.6107,13.0369,,,,
175,174.43706,,,0.5629,0.3169,,,,
174,174.41278,,,-0.4128,0.1704,,,,
172,174.76625,,,-2.7663,7.6521,,,,
170,174.97873,,,-4.9787,24.7878,,,,
177,174.83307,,,2.1669,4.6956,,,,
170,174.8837,,,-4.8837,23.8505,,,,
180,174.98933,,,5.0107,25.1068,,,,
178,174.34723,,,3.6528,13.3427,,,,
173,174.75526,,,-1.7553,3.0809,,,,
172,174.65445,,,-2.6545,7.0461,,,,
178,175.22156,,,2.7784,7.7197,,,,
171,174.45651,,,-3.4565,11.9475,,,,
169,174.7352,,,-5.7352,32.8925,,,,
170,175.89104,,,-5.8910,34.7044,,,,
179,175.07948,,,3.9205,15.3705,,,,
170,174.46407,,,-4.4641,19.9279,,,,
172,175.7443,,,-3.7443,14.0198,,,,
181,175.09615,,,5.9039,34.8554,,,,
172,174.6018,,,-2.6018,6.7694,,,,
172,174.54999,,,-2.5500,6.5024,,,,
173,174.57709,,,-1.5771,2.4872,,,,
177,174.8518,,,2.1482,4.6148,,,,
169,174.3232,,,-5.3232,28.3365,,,,
166,174.61868,,,-8.6187,74.2816,,,,
172,174.3527,,,-2.3527,5.5352,,,,
173,174.41754,,,-1.4175,2.0094,,,,
172,174.96982,,,-2.9698,8.8198,,,,
180,175.0572,,,4.9428,24.4313,,,,
176,175.57454,,,0.4255,0.1810,,,,
180,176.88838,,,3.1116,9.6822,,,,
173,174.50232,,,-1.5023,2.2570,,,,
187,175.89789,,,11.1021,123.2568,,,,
171,174.8156,,,-3.8156,14.5588,,,,
163,175.52734,,,-12.5273,156.9342,,,,
174,174.87239,,,-0.8724,0.7611,,,,
169,175.01315,,,-6.0132,36.1580,,,,
158,174.77959,,,-16.7796,281.5546,,,,
170,174.43378,,,-4.4338,19.6584,,,,
161,174.22556,,,-13.2256,174.9154,,,,
168,174.67346,,,-6.6735,44.5351,,,,
173,174.64355,,,-1.6436,2.7013,,,,
170,174.49724,,,-4.4972,20.2252,,,,
166,174.4251,,,-8.4251,70.9823,,,,
171,174.93619,,,-3.9362,15.4936,,,,
173,174.92303,,,-1.9230,3.6980,,,,
173,174.70082,,,-1.7008,2.8928,,,,
175,174.94193,,,0.0581,0.0034,,,,
168,174.8581,,,-6.8581,47.0335,,,,
187,175.36691,,,11.6331,135.3288,,,,
180,174.64186,,,5.3581,28.7097,,,,
162,174.58662,,,-12.5866,158.4230,,,,
180,174.7824,,,5.2176,27.2233,,,,
165,175.25975,,,-10.2598,105.2625,,,,
170,175.37576,,,-5.3758,28.8988,,,,
180,175.66928,,,4.3307,18.7551,,,,
175,175.18056,,,-0.1806,0.0326,,,,
170,175.62845,,,-5.6284,31.6794,,,,
174,174.45082,,,-0.4508,0.2032,,,,
182,174.40901,,,7.5910,57.6231,,,,
170,174.49956,,,-4.4996,20.2460,,,,
168,174.80049,,,-6.8005,46.2467,,,,
174,175.2489,,,-1.2489,1.5598,,,,
171,175.15393,,,-4.1539,17.2551,,,,
167,174.5659,,,-7.5659,57.2428,,,,
176,175.05939,,,0.9406,0.8847,,,,
174.5,174.70662,,,-0.2066,0.0427,,,,
170,174.37042,,,-4.3704,19.1006,,,,
171,175.59032,,,-4.5903,21.0710,,,,
180,174.72017,,,5.2798,27.8766,,,,
171,174.93391,,,-3.9339,15.4756,,,,
168,174.9862,,,-6.9862,48.8070,,,,
178,175.1185,,,2.8815,8.3030,,,,
171,174.70416,,,-3.7042,13.7208,,,,
176,174.8594,,,1.1406,1.3010,,,,
174,174.31607,,,-0.3161,0.0999,,,,
170,174.63475,,,-4.6348,21.4809,,,,
174,174.5811,,,-0.5811,0.3377,,,,
170,174.85257,,,-4.8526,23.5474,,,,
180,175.35555,,,4.6445,21.5709,,,,
171,174.8464,,,-3.8464,14.7948,,,,
172,174.67296,,,-2.6730,7.1447,,,,
170,174.99503,,,-4.9950,24.9503,,,,
170,174.58398,,,-4.5840,21.0129,,,,
181,175.94223,,,5.0578,25.5810,,,,
165,174.5922,,,-9.5922,92.0103,,,,
182,174.79755,,,7.2025,51.8753,,,,
173,174.9574,,,-1.9574,3.8314,,,,
176,174.56377,,,1.4362,2.0628,,,,
175,174.61958,,,0.3804,0.1447,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
