Data,Height,,,residuals,residuals**,,,,
173,174.80743,,,-1.8074,3.2668,,,,
165,171.36166,,,-6.3617,40.4707,,,,
168,171.02997,,,-3.0300,9.1807,,,,
167,173.65912,,,-6.6591,44.3439,,,Sum,2182.0651
173,174.42223,,,-1.4222,2.0227,,,RMSE,4.537126811
173,175.19832,,,-2.1983,4.8326,,,Best_CV,0.02756
159,169.05814,,,-10.0581,101.1662,,,,
165,167.68164,,,-2.6816,7.1912,,,,
176,175.69724,,,0.3028,0.0917,,,,
173.5,173.86401,,,-0.3640,0.1325,,,"opt = Adam(lr=1e-3, decay=1e-3 / 200,beta_1=0.9, beta_2=0.999,epsilon=None)",
176,173.32309,,,2.6769,7.1658,,,"epochs=300, batch_size=32",
178,172.14334,,,5.8567,34.3005,,,,
172,171.49747,,,0.5025,0.2525,,,,
170,175.67218,,,-5.6722,32.1736,,,,
178,173.50641,,,4.4936,20.1924,,,,
172,174.94818,,,-2.9482,8.6918,,,,
172,173.7441,,,-1.7441,3.0419,,,,
175,176.41806,,,-1.4181,2.0109,,,,
174,174.1054,,,-0.1054,0.0111,,,,
172,172.17535,,,-0.1754,0.0307,,,,
170,173.59521,,,-3.5952,12.9255,,,,
177,176.88441,,,0.1156,0.0134,,,,
170,172.86331,,,-2.8633,8.1985,,,,
180,178.25812,,,1.7419,3.0341,,,,
178,172.01393,,,5.9861,35.8330,,,,
173,173.01135,,,-0.0113,0.0001,,,,
172,177.28748,,,-5.2875,27.9574,,,,
178,176.80963,,,1.1904,1.4170,,,,
171,171.3155,,,-0.3155,0.0995,,,,
169,171.40317,,,-2.4032,5.7752,,,,
170,171.56447,,,-1.5645,2.4476,,,,
179,175.90637,,,3.0936,9.5705,,,,
170,173.13081,,,-3.1308,9.8020,,,,
172,172.58751,,,-0.5875,0.3452,,,,
181,176.72917,,,4.2708,18.2400,,,,
172,172.54407,,,-0.5441,0.2960,,,,
172,172.91454,,,-0.9145,0.8364,,,,
173,175.87897,,,-2.8790,8.2885,,,,
177,174.92616,,,2.0738,4.3008,,,,
169,170.67918,,,-1.6792,2.8196,,,,
166,168.92107,,,-2.9211,8.5326,,,,
172,173.66559,,,-1.6656,2.7742,,,,
173,175.1926,,,-2.1926,4.8075,,,,
172,172.90321,,,-0.9032,0.8158,,,,
180,172.597,,,7.4030,54.8044,,,,
176,171.18799,,,4.8120,23.1554,,,,
180,176.50684,,,3.4932,12.2022,,,,
173,175.43692,,,-2.4369,5.9386,,,,
187,173.84763,,,13.1524,172.9848,,,,
171,171.64696,,,-0.6470,0.4186,,,,
163,172.43295,,,-9.4330,88.9805,,,,
174,176.98444,,,-2.9844,8.9069,,,,
169,173.6476,,,-4.6476,21.6002,,,,
158,171.18431,,,-13.1843,173.8260,,,,
170,175.37413,,,-5.3741,28.8813,,,,
161,168.43364,,,-7.4336,55.2590,,,,
168,168.03572,,,-0.0357,0.0013,,,,
173,174.9221,,,-1.9221,3.6945,,,,
170,173.05278,,,-3.0528,9.3195,,,,
166,170.32149,,,-4.3215,18.6753,,,,
171,173.41742,,,-2.4174,5.8439,,,,
173,175.78781,,,-2.7878,7.7719,,,,
173,174.07707,,,-1.0771,1.1601,,,,
175,172.41228,,,2.5877,6.6963,,,,
168,174.89436,,,-6.8944,47.5322,,,,
187,174.1158,,,12.8842,166.0026,,,,
180,177.64488,,,2.3551,5.5466,,,,
162,170.67009,,,-8.6701,75.1705,,,,
180,175.63268,,,4.3673,19.0735,,,,
165,170.72029,,,-5.7203,32.7217,,,,
170,172.50186,,,-2.5019,6.2593,,,,
180,174.41258,,,5.5874,31.2193,,,,
175,173.23323,,,1.7668,3.1215,,,,
170,173.70158,,,-3.7016,13.7017,,,,
174,171.22188,,,2.7781,7.7180,,,,
182,172.2585,,,9.7415,94.8968,,,,
170,173.05505,,,-3.0550,9.3333,,,,
168,171.88353,,,-3.8835,15.0818,,,,
174,176.19592,,,-2.1959,4.8221,,,,
171,175.85947,,,-4.8595,23.6144,,,,
167,174.51637,,,-7.5164,56.4958,,,,
176,177.32812,,,-1.3281,1.7639,,,,
174.5,175.08623,,,-0.5862,0.3437,,,,
170,172.90558,,,-2.9056,8.4424,,,,
171,171.321,,,-0.3210,0.1030,,,,
180,176.70883,,,3.2912,10.8318,,,,
171,175.7092,,,-4.7092,22.1766,,,,
168,175.04276,,,-7.0428,49.6005,,,,
178,173.87975,,,4.1203,16.9765,,,,
171,170.93564,,,0.0644,0.0041,,,,
176,176.08722,,,-0.0872,0.0076,,,,
174,171.68279,,,2.3172,5.3695,,,,
170,176.54689,,,-6.5469,42.8618,,,,
174,176.52242,,,-2.5224,6.3626,,,,
170,174.21791,,,-4.2179,17.7908,,,,
180,174.73572,,,5.2643,27.7126,,,,
171,175.15933,,,-4.1593,17.3000,,,,
172,175.81177,,,-3.8118,14.5296,,,,
170,170.92995,,,-0.9299,0.8648,,,,
170,170.94073,,,-0.9407,0.8850,,,,
181,174.7699,,,6.2301,38.8141,,,,
165,168.37045,,,-3.3705,11.3599,,,,
182,173.22925,,,8.7707,76.9261,,,,
173,174.92462,,,-1.9246,3.7042,,,,
176,174.2485,,,1.7515,3.0678,,,,
175,176.46078,,,-1.4608,2.1339,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
